estimated_duration_hours,difficulty_score,priority_score,task_type_score,subject_has_events,hours_until_next_subject_event,day_load_score,free_hours_today,days_until_deadline,recommended_deadline_hours,data_source
4,4,4,2,1,12,14,6,5,10,synthetic
6,4,2,2,1,24,69,5,3,28,synthetic
1.5,3,4,3,0,0,93,1,4,48,synthetic
5,5,4,5,1,48,61,6,4,48,synthetic
5,2,1,1,1,36,21,4,3,34,synthetic
1.5,4,3,4,1,24,73,2,3,36,synthetic
1,5,4,5,0,0,10,2,1,24,synthetic
4,5,3,2,0,0,24,6,10,89,synthetic
4,4,1,2,1,18,78,3,7,28,synthetic
3,4,2,4,1,72,61,7,5,76,synthetic
0.5,2,4,1,1,36,4,4,4,34,synthetic
1,5,3,5,1,12,27,7,4,10,synthetic
3,2,1,1,1,24,67,2,10,36,synthetic
0.5,2,2,1,1,12,12,1,2,18,synthetic
0.5,4,3,4,1,12,91,5,14,22,synthetic
0.5,4,2,5,1,24,86,6,5,34,synthetic
5,4,1,1,0,0,42,6,2,24,synthetic
1.5,4,3,1,1,24,73,6,14,28,synthetic
2,4,4,2,0,0,75,1,1,24,synthetic
0.5,5,1,2,1,6,13,1,14,12,synthetic
1.5,1,2,4,0,0,49,5,1,24,synthetic
2,2,2,4,1,12,28,4,1,10,synthetic
1,1,3,5,1,24,28,4,1,22,synthetic
5,5,4,3,1,18,55,5,10,16,synthetic
2,4,1,2,0,0,61,2,4,48,synthetic
6,4,4,1,0,0,60,5,2,24,synthetic
3,3,2,5,1,72,0,4,3,48,synthetic
1,5,3,1,1,36,15,5,5,34,synthetic
1.5,5,3,5,1,36,17,4,5,34,synthetic
0.5,2,4,4,0,0,59,6,4,48,synthetic
1.5,2,4,2,1,24,87,1,2,24,synthetic
1,4,1,1,0,0,41,4,2,24,synthetic
1,1,3,5,0,0,79,7,5,66,synthetic
6,3,4,4,0,0,36,3,4,48,synthetic
6,3,3,4,1,36,35,3,5,34,synthetic
6,4,2,5,0,0,51,4,1,24,synthetic
1,3,4,2,1,18,34,4,7,16,synthetic
1.5,2,2,3,0,0,6,3,3,48,synthetic
5,5,1,5,0,0,62,1,10,130,synthetic
5,1,2,4,0,0,69,7,14,80,synthetic
2,1,3,4,0,0,55,6,10,55,synthetic
3,2,3,2,0,0,20,5,1,24,synthetic
0.5,5,2,4,0,0,86,5,14,100.0,synthetic
1.5,1,2,3,1,12,55,5,4,10,synthetic
1.5,4,3,2,1,24,52,3,1,22,synthetic
2,1,1,1,1,18,89,7,5,28,synthetic
2,2,1,3,0,0,30,7,1,24,synthetic
1,2,4,1,0,0,97,1,5,63,synthetic
3,3,1,2,0,0,54,5,1,24,synthetic
1,2,2,4,1,24,83,5,5,34,synthetic
1.5,4,4,5,0,0,8,7,7,73.0,synthetic
1,3,3,3,1,6,49,2,5,12,synthetic
3,2,4,5,0,0,56,1,3,48,synthetic
4,4,3,3,1,6,45,6,5,4,synthetic
2,5,3,5,0,0,58,3,7,96,synthetic
5,1,2,5,1,24,8,5,1,22,synthetic
4,1,1,3,1,18,23,3,1,16,synthetic
5,3,4,3,1,18,39,7,1,16,synthetic
3,3,1,4,0,0,88,7,14,101,synthetic
1,5,1,2,0,0,28,3,5,91,synthetic
0.5,3,2,1,1,6,69,1,3,18,synthetic
6,1,1,2,0,0,60,4,10,85,synthetic
3,3,2,3,0,0,70,2,10,93,synthetic
1.5,5,2,3,1,72,80,1,1,24,synthetic
1,2,3,3,1,48,96,3,7,58,synthetic
5,3,3,5,1,24,51,4,7,22,synthetic
5,2,4,2,0,0,23,2,10,70,synthetic
6,3,3,4,1,36,6,7,5,34,synthetic
5,2,3,1,1,12,75,3,10,16,synthetic
4,5,1,4,1,48,7,2,3,48,synthetic
1,3,2,4,1,72,46,2,2,24,synthetic
2,4,1,2,0,0,36,7,10,87,synthetic
1.5,3,2,4,1,6,18,4,10,4,synthetic
1,3,2,2,1,6,2,5,2,4,synthetic
6,2,1,3,0,0,76,6,14,102,synthetic
1.5,4,3,3,0,0,17,4,5,74.0,synthetic
2,1,3,5,0,0,26,4,1,24,synthetic
4,2,4,1,1,18,99,2,1,24,synthetic
1.5,5,2,1,0,0,76,6,2,24,synthetic
4,3,4,1,0,0,70,1,14,77,synthetic
4,2,4,5,1,72,99,1,10,87,synthetic
1.5,3,4,3,0,0,88,7,3,48,synthetic
4,4,4,5,1,48,87,4,1,24,synthetic
5,3,1,2,1,48,44,5,4,46,synthetic
2,2,1,5,0,0,32,1,14,88,synthetic
5,2,1,3,1,72,35,6,1,24,synthetic
5,5,3,5,0,0,35,7,3,48,synthetic
6,2,1,3,0,0,45,3,14,90,synthetic
4,1,4,1,1,36,40,2,14,42,synthetic
0.5,4,1,5,0,0,99,4,3,48,synthetic
4,5,4,1,1,24,12,3,4,22,synthetic
0.5,1,2,4,0,0,63,7,4,48,synthetic
4,5,3,5,1,6,84,5,3,16,synthetic
1.5,1,3,1,0,0,11,6,2,24,synthetic
3,1,4,3,0,0,10,4,5,49,synthetic
3,2,1,2,1,72,83,4,1,24,synthetic
5,4,2,3,1,6,34,6,1,4,synthetic
1.5,1,1,5,1,6,8,2,3,12,synthetic
4,5,4,5,1,36,19,4,2,24,synthetic
4,3,1,4,0,0,22,6,7,93,synthetic
1,5,3,4,0,0,0,3,5,83,synthetic
2,4,3,1,0,0,13,7,3,48,synthetic
3,1,1,4,1,18,7,4,14,16,synthetic
0.5,4,1,5,0,0,54,4,2,24,synthetic
5,2,4,1,0,0,46,7,7,59,synthetic
2,1,3,2,0,0,72,6,2,24,synthetic
4,4,2,2,0,0,29,3,7,88,synthetic
0.5,1,3,4,1,6,65,2,3,18,synthetic
6,4,1,3,0,0,68,4,1,24,synthetic
2,2,3,1,0,0,5,1,7,62,synthetic
6,5,3,1,0,0,16,5,5,94,synthetic
3,2,3,5,1,36,48,6,10,34,synthetic
4,1,3,4,1,6,5,5,14,4,synthetic
1.5,1,1,2,1,36,7,6,1,24,synthetic
0.5,4,1,5,1,18,13,3,10,16,synthetic
3,1,1,4,0,0,7,7,14,73,synthetic
6,1,3,3,0,0,37,4,7,68,synthetic
1.5,5,3,2,1,18,82,2,2,24,synthetic
0.5,3,1,3,0,0,33,7,2,24,synthetic
1.5,1,1,3,0,0,13,6,1,24,synthetic
1.5,1,4,4,1,24,95,3,5,34,synthetic
1,2,1,5,1,18,2,3,1,16,synthetic
5,2,4,2,0,0,87,5,14,74,synthetic
5,1,3,3,0,0,93,1,14,84,synthetic
1,4,1,5,1,24,70,3,14,28,synthetic
1,2,2,5,1,36,54,1,10,42,synthetic
0.5,1,4,1,1,48,12,5,14,33.0,synthetic
1,2,4,2,0,0,31,4,5,46,synthetic
5,5,4,1,1,24,92,6,1,24,synthetic
2,2,2,1,0,0,28,4,2,24,synthetic
1.5,5,2,1,1,24,79,5,1,24,synthetic
4,5,2,2,0,0,27,2,4,48,synthetic
4,1,2,3,0,0,60,2,1,24,synthetic
1,1,4,1,0,0,11,3,4,35,synthetic
6,4,4,2,0,0,5,5,2,24,synthetic
2,1,2,5,0,0,92,5,14,77,synthetic
2,2,4,5,0,0,60,2,3,48,synthetic
0.5,5,1,4,0,0,39,4,10,95.0,synthetic
1,2,1,5,1,12,30,6,14,10,synthetic
3,5,4,5,0,0,5,3,14,87,synthetic
1.5,5,3,5,0,0,0,3,10,88.0,synthetic
1,1,1,4,1,72,39,1,3,48,synthetic
1.5,1,4,1,0,0,12,2,7,45.0,synthetic
0.5,2,2,5,0,0,65,5,10,73.0,synthetic
0.5,2,2,3,1,48,52,5,14,46,synthetic
1,4,4,2,1,72,30,1,14,70,synthetic
0.5,4,3,5,1,18,72,4,2,22,synthetic
2,5,2,3,1,72,68,2,14,84,synthetic
6,2,2,4,0,0,17,4,7,86,synthetic
0.5,3,4,3,1,36,48,6,5,34,synthetic
2,3,2,3,0,0,12,4,2,24,synthetic
5,4,4,3,0,0,7,7,14,81,synthetic
5,1,2,2,0,0,92,5,5,80,synthetic
1,4,3,5,1,6,31,1,10,12,synthetic
2,4,1,2,0,0,57,5,4,48,synthetic
4,5,3,2,1,48,57,6,5,52,synthetic
4,5,2,2,0,0,48,6,2,24,synthetic
1.5,2,2,1,0,0,88,4,14,71.0,synthetic
1.5,4,1,2,0,0,29,6,1,24,synthetic
5,2,4,4,1,12,4,4,3,10,synthetic
5,1,4,2,0,0,23,6,14,54,synthetic
3,1,1,3,1,36,44,6,2,24,synthetic
2,3,2,3,0,0,75,6,3,48,synthetic
3,1,3,1,0,0,72,3,3,48,synthetic
2,1,1,1,1,12,90,5,1,22,synthetic
2,3,1,3,1,36,47,4,7,34,synthetic
1,4,2,3,0,0,87,5,1,24,synthetic
0.5,2,4,3,1,6,26,7,14,4,synthetic
5,1,3,4,0,0,76,2,7,87,synthetic
3,1,1,3,0,0,71,1,2,24,synthetic
6,5,1,5,1,12,95,5,3,22,synthetic
3,5,1,3,1,48,92,1,10,66,synthetic
4,1,2,3,1,48,23,3,14,46,synthetic
2,3,4,1,1,48,75,6,3,48,synthetic
0.5,4,2,3,1,12,62,1,10,24,synthetic
6,1,4,3,1,48,64,2,14,60,synthetic
5,4,1,5,0,0,51,1,3,48,synthetic
0.5,1,4,1,1,36,28,5,4,33.0,synthetic
0.5,2,1,5,0,0,89,3,7,86.0,synthetic
3,2,3,4,0,0,8,3,3,48,synthetic
0.5,1,2,2,1,6,99,7,1,16,synthetic
0.5,5,2,1,0,0,38,6,14,79.0,synthetic
2,4,1,5,0,0,27,1,2,24,synthetic
3,4,2,3,1,72,27,3,2,24,synthetic
4,5,2,4,1,48,54,6,5,46,synthetic
6,4,1,1,0,0,94,2,4,48,synthetic
6,1,4,4,1,18,74,4,1,22,synthetic
0.5,4,3,1,1,48,21,6,1,24,synthetic
5,1,3,2,1,18,88,1,14,36,synthetic
0.5,1,2,4,1,48,78,6,7,58,synthetic
3,3,4,1,0,0,9,4,14,59,synthetic
4,4,3,4,1,36,92,7,1,24,synthetic
5,5,2,3,1,24,97,2,7,42,synthetic
1.5,3,2,3,0,0,82,7,10,85.0,synthetic
1,3,1,4,1,48,47,3,2,24,synthetic
6,2,2,5,0,0,91,2,5,109,synthetic
3,3,1,2,1,6,59,6,3,10,synthetic
2,4,1,3,1,18,74,3,14,22,synthetic
3,1,1,4,0,0,5,6,4,48,synthetic
6,3,3,5,0,0,73,4,2,24,synthetic
6,4,2,3,1,36,71,7,1,24,synthetic
2,1,2,3,0,0,87,3,5,71,synthetic
5,1,3,3,0,0,92,7,1,24,synthetic
1.5,3,4,3,0,0,13,3,4,48,synthetic
3,2,3,4,0,0,78,1,1,24,synthetic
6,3,1,3,0,0,74,5,5,104,synthetic
4,3,1,1,1,36,72,6,1,24,synthetic
4,5,4,4,1,18,97,1,5,36,synthetic
1,1,4,2,0,0,65,7,5,44,synthetic
2,3,4,5,1,12,33,5,14,10,synthetic
2,1,1,3,1,48,91,1,4,48,synthetic
5,1,3,2,1,18,45,7,14,16,synthetic
6,3,4,4,0,0,6,5,7,80,synthetic
6,5,2,4,0,0,17,7,2,24,synthetic
0.5,1,1,4,1,12,74,7,7,16,synthetic
2,4,3,1,0,0,81,6,10,82,synthetic
6,2,1,4,1,6,17,7,14,4,synthetic
2,2,4,4,0,0,96,1,2,24,synthetic
5,3,1,3,1,72,83,3,4,48,synthetic
5,1,1,4,0,0,10,3,3,48,synthetic
0.5,3,3,5,0,0,30,7,3,48,synthetic
1.5,3,4,4,1,6,94,3,1,16,synthetic
1,2,2,5,1,36,46,7,10,34,synthetic
1.5,3,4,2,1,6,3,7,10,4,synthetic
1.5,5,3,1,1,36,98,4,3,46,synthetic
3,3,3,1,0,0,59,6,7,72,synthetic
1,3,1,1,0,0,1,5,7,72,synthetic
6,3,2,5,1,18,5,2,3,24,synthetic
1.5,4,4,5,0,0,22,3,1,24,synthetic
1,5,3,3,1,12,19,5,2,10,synthetic
5,2,4,2,1,48,69,2,4,48,synthetic
3,1,1,4,0,0,71,7,7,79,synthetic
5,3,1,5,1,48,92,2,7,66,synthetic
2,2,2,3,1,6,44,6,1,4,synthetic
5,5,4,4,1,24,23,6,10,22,synthetic
0.5,4,1,1,0,0,59,5,4,48,synthetic
0.5,4,2,5,0,0,95,1,14,103.0,synthetic
1.5,2,1,5,1,24,48,6,1,22,synthetic
1.5,3,4,1,0,0,51,4,7,53.0,synthetic
4,4,3,5,0,0,34,4,1,24,synthetic
5,5,3,4,1,12,35,1,4,18,synthetic
5,3,2,4,0,0,13,2,3,48,synthetic
1.5,2,1,2,0,0,89,1,5,89.0,synthetic
4,5,1,5,0,0,68,7,3,48,synthetic
6,4,4,4,1,12,55,4,10,10,synthetic
0.5,5,1,1,1,18,7,5,4,16,synthetic
1,3,3,5,0,0,99,2,3,48,synthetic
5,4,4,5,1,36,25,7,14,34,synthetic
1.5,2,2,4,1,36,70,6,3,40,synthetic
6,3,3,2,1,36,1,4,2,24,synthetic
4,5,3,5,1,24,38,2,7,30,synthetic
4,1,1,1,1,12,98,3,5,22,synthetic
1.5,1,1,2,0,0,79,5,4,48,synthetic
3,3,2,1,0,0,100,1,14,93,synthetic
1,5,4,5,1,24,84,7,7,34,synthetic
5,5,2,4,0,0,2,2,14,114,synthetic
1.5,5,1,1,0,0,92,4,14,102.0,synthetic
2,3,2,2,1,72,43,6,1,24,synthetic
0.5,5,2,3,0,0,3,4,2,24,synthetic
1,3,1,2,0,0,81,7,4,48,synthetic
3,5,1,3,1,48,34,6,4,46,synthetic
1.5,5,1,4,0,0,67,1,4,48,synthetic
1,3,4,4,1,12,66,1,5,24,synthetic
4,1,1,4,1,6,78,5,14,16,synthetic
5,1,4,2,1,48,38,6,1,24,synthetic
5,2,4,5,1,6,33,1,1,12,synthetic
2,5,1,2,0,0,37,3,3,48,synthetic
3,1,2,2,1,48,27,6,4,46,synthetic
6,5,3,3,0,0,40,2,10,108,synthetic
4,2,4,1,0,0,70,4,2,24,synthetic
5,4,1,5,1,6,7,1,7,12,synthetic
1,1,3,3,0,0,77,5,5,60,synthetic
6,5,4,4,0,0,58,7,10,102,synthetic
3,3,2,3,0,0,64,1,1,24,synthetic
5,1,4,2,1,48,17,3,14,46,synthetic
0.5,3,3,1,1,48,69,5,4,48,synthetic
3,5,1,4,0,0,39,4,1,24,synthetic
2,3,2,5,1,48,99,1,14,66,synthetic
0.5,4,4,1,1,6,41,6,10,4,synthetic
4,2,1,4,0,0,86,7,2,24,synthetic
4,1,1,5,0,0,27,6,2,24,synthetic
1.5,2,3,2,1,6,47,2,2,12,synthetic
2,2,4,2,0,0,72,4,7,56,synthetic
1,3,4,5,1,18,53,1,14,24,synthetic
2,1,2,4,1,24,96,4,5,34,synthetic
4,1,2,5,1,24,7,5,3,22,synthetic
2,3,2,5,0,0,27,1,2,24,synthetic
3,4,2,4,1,36,76,1,1,24,synthetic
1,4,4,3,0,0,37,1,5,73,synthetic
4,4,4,3,1,18,85,1,4,36,synthetic
6,4,3,5,1,6,92,7,2,16,synthetic
5,2,1,3,1,72,6,3,1,24,synthetic
5,4,4,4,0,0,43,4,3,48,synthetic
3,3,2,3,0,0,7,7,2,24,synthetic
5,5,1,2,0,0,76,2,2,24,synthetic
0.5,4,1,5,0,0,37,1,1,24,synthetic
0.5,3,2,4,1,48,18,7,3,46,synthetic
6,2,4,5,1,18,47,6,2,16,synthetic
0.5,5,1,1,1,36,17,5,1,24,synthetic
3,1,4,2,0,0,74,2,5,60,synthetic
4,3,4,2,0,0,59,5,1,24,synthetic
0.5,4,3,2,1,48,26,1,5,54,synthetic
1.5,5,4,2,1,6,99,4,5,16,synthetic
4,2,1,1,0,0,98,3,1,24,synthetic
5,3,1,1,1,72,28,1,7,78,synthetic
1,5,2,1,1,48,9,3,2,24,synthetic
1,2,1,3,1,18,56,4,4,22,synthetic
6,3,3,5,1,18,23,1,10,24,synthetic
3,3,1,3,0,0,73,6,1,24,synthetic
5,4,1,1,0,0,69,7,1,24,synthetic
2,3,3,2,0,0,78,6,10,77,synthetic
2,2,4,5,1,18,83,6,7,28,synthetic
3,4,3,5,0,0,86,3,7,98,synthetic
0.5,5,2,3,0,0,44,1,3,48,synthetic
6,4,1,2,0,0,68,3,7,109,synthetic
1,2,1,4,0,0,28,1,4,48,synthetic
0.5,4,1,5,0,0,75,5,1,24,synthetic
4,3,3,2,0,0,52,7,10,73,synthetic
2,1,1,5,1,12,6,2,3,18,synthetic
4,3,4,2,1,12,72,7,2,16,synthetic
3,1,1,2,1,48,83,7,7,58,synthetic
5,5,4,4,1,6,33,2,3,12,synthetic
4,2,1,3,0,0,82,7,3,48,synthetic
5,2,3,4,1,36,17,1,3,42,synthetic
3,4,4,2,0,0,95,7,7,82,synthetic
6,5,3,4,1,48,30,7,14,46,synthetic
5,4,4,2,0,0,88,1,14,98,synthetic
6,4,2,5,1,12,68,2,4,24,synthetic
5,5,2,4,0,0,97,7,2,24,synthetic
3,2,2,1,1,72,82,7,4,48,synthetic
5,2,1,3,0,0,46,6,10,86,synthetic
5,5,2,1,1,48,2,4,4,46,synthetic
1,2,3,2,0,0,75,4,14,59,synthetic
6,3,3,2,1,12,84,6,3,22,synthetic
4,5,4,5,0,0,20,3,2,24,synthetic
1.5,4,3,5,0,0,39,7,4,48,synthetic
2,1,2,5,1,24,23,3,7,22,synthetic
5,1,2,2,0,0,20,3,3,48,synthetic
6,4,1,2,1,24,86,5,10,34,synthetic
2,5,2,5,1,48,72,4,2,24,synthetic
4,1,3,1,1,18,58,2,10,30,synthetic
1,2,4,2,1,72,15,2,1,24,synthetic
6,5,2,4,0,0,78,7,3,48,synthetic
1,5,4,5,1,18,51,1,10,24,synthetic
5,2,4,3,1,12,95,1,10,30,synthetic
4,5,1,2,1,12,77,7,3,22,synthetic
1,2,4,2,0,0,3,2,7,54,synthetic
1.5,1,3,4,1,12,77,3,5,22,synthetic
4,1,4,2,1,6,26,6,3,4,synthetic
1,1,4,2,1,6,67,3,7,10,synthetic
3,4,4,2,1,6,90,2,2,24,synthetic
6,1,2,2,0,0,38,6,7,72,synthetic
0.5,2,3,1,1,6,44,5,4,4,synthetic
1.5,3,4,3,1,48,98,2,7,66,synthetic
2,5,3,2,1,12,25,2,2,18,synthetic
4,1,1,2,0,0,96,7,10,83,synthetic
3,2,4,5,0,0,41,7,3,48,synthetic
0.5,4,1,3,1,6,36,2,14,12,synthetic
3,3,4,5,0,0,95,6,1,24,synthetic
0.5,4,2,5,0,0,31,3,2,24,synthetic
1.5,4,2,1,1,18,45,4,5,16,synthetic
4,4,2,5,1,48,49,7,3,46,synthetic
5,5,3,1,1,18,12,6,14,16,synthetic
5,3,3,1,0,0,72,2,14,88,synthetic
4,3,2,5,0,0,51,3,3,48,synthetic
1.5,4,3,2,0,0,50,3,7,71.0,synthetic
6,1,2,5,0,0,56,7,1,24,synthetic
0.5,1,2,4,0,0,78,1,1,24,synthetic
1.5,3,4,4,0,0,46,6,14,62.0,synthetic
0.5,5,3,4,1,36,69,5,10,40,synthetic
0.5,4,1,3,1,36,84,7,1,24,synthetic
4,4,4,4,1,36,80,5,7,46,synthetic
3,2,4,2,1,12,40,1,4,18,synthetic
4,2,1,2,1,6,7,7,2,4,synthetic
2,2,4,5,0,0,48,7,14,59,synthetic
4,2,1,4,0,0,35,7,14,85,synthetic
3,1,2,2,1,12,88,3,7,22,synthetic
6,2,1,4,0,0,47,3,14,93,synthetic
2,2,2,3,1,6,70,7,3,10,synthetic
1.5,1,1,4,1,6,3,3,7,4,synthetic
3,3,4,2,0,0,28,5,3,48,synthetic
2,1,2,2,1,6,0,2,3,12,synthetic
4,3,2,1,1,12,3,3,2,10,synthetic
0.5,2,3,5,0,0,27,3,7,60.0,synthetic
0.5,4,3,4,1,6,67,5,2,10,synthetic
5,5,4,4,1,48,38,4,7,46,synthetic
1,1,4,3,1,18,98,6,3,28,synthetic
5,1,2,5,0,0,24,5,10,77,synthetic
3,4,2,4,0,0,16,6,1,24,synthetic
4,1,2,4,1,36,28,3,14,34,synthetic
4,1,1,1,1,72,61,6,5,74,synthetic
1.5,4,2,4,1,24,2,6,5,22,synthetic
1.5,2,3,5,1,24,72,5,1,24,synthetic
0.5,1,4,1,1,72,99,6,2,24,synthetic
3,3,2,4,1,12,98,3,7,22,synthetic
3,1,4,2,0,0,14,2,2,24,synthetic
1.5,2,3,5,0,0,0,3,5,64.0,synthetic
5,5,3,1,0,0,7,1,10,98,synthetic
0.5,1,1,4,1,18,52,6,10,16,synthetic
3,4,1,3,0,0,99,2,14,114,synthetic
5,1,1,1,0,0,48,3,14,72,synthetic
0.5,1,1,4,1,72,52,1,7,71.0,synthetic
1.5,1,2,3,0,0,65,2,14,71.0,synthetic
1.5,5,1,1,0,0,1,6,4,48,synthetic
6,5,3,5,0,0,4,7,4,48,synthetic
6,1,3,5,1,18,29,3,5,16,synthetic
1.5,1,2,3,0,0,33,2,3,48,synthetic
1,2,3,1,1,12,88,7,7,22,synthetic
2,3,3,4,0,0,62,6,4,48,synthetic
6,2,1,2,1,18,21,5,5,16,synthetic
6,3,4,1,0,0,0,1,5,79,synthetic
5,2,2,2,1,12,58,4,5,16,synthetic
6,3,1,5,0,0,5,1,14,112,synthetic
3,2,3,5,1,24,71,4,2,24,synthetic
3,4,3,2,0,0,79,5,7,89,synthetic
5,5,2,4,1,72,81,7,2,24,synthetic
1.5,2,1,5,1,6,42,2,7,12,synthetic
1,3,3,2,1,6,4,4,14,4,synthetic
5,3,1,4,1,18,57,7,10,22,synthetic
5,3,1,5,0,0,57,1,14,114,synthetic
5,5,4,1,0,0,28,7,14,83,synthetic
1,1,4,4,1,48,42,2,4,48,synthetic
4,4,1,3,1,72,34,2,14,78,synthetic
1,2,2,5,0,0,26,6,10,69,synthetic
4,5,1,4,0,0,70,1,7,123,synthetic
1.5,2,1,1,0,0,27,7,5,66.0,synthetic
4,3,1,5,0,0,6,7,2,24,synthetic
4,1,4,3,0,0,59,7,5,59,synthetic
4,1,4,2,0,0,6,3,4,48,synthetic
4,1,4,1,0,0,20,4,1,24,synthetic
1.5,1,1,3,0,0,65,7,7,70.0,synthetic
0.5,4,3,5,0,0,47,2,1,24,synthetic
4,4,3,3,1,6,29,4,3,4,synthetic
1,4,4,2,1,6,52,3,10,4,synthetic
1.5,1,3,1,0,0,82,5,4,48,synthetic
4,4,4,2,0,0,64,6,2,24,synthetic
2,2,3,2,1,36,1,2,3,42,synthetic
0.5,5,3,1,1,48,6,6,7,46,synthetic
2,4,3,5,0,0,96,7,5,94,synthetic
1.5,2,4,3,1,36,32,2,14,42,synthetic
2,3,4,2,0,0,23,3,10,58,synthetic
1,2,3,5,1,72,90,4,10,74,synthetic
4,3,4,5,1,18,45,7,4,16,synthetic
4,1,1,5,0,0,38,6,4,48,synthetic
0.5,3,4,1,1,18,65,3,10,22,synthetic
1,5,1,3,1,18,60,5,2,22,synthetic
1.5,2,3,4,0,0,5,4,2,24,synthetic
6,4,1,1,1,48,91,6,3,48,synthetic
3,5,1,3,1,48,77,3,1,24,synthetic
6,1,3,5,0,0,77,2,4,48,synthetic
2,2,2,5,1,6,58,3,4,10,synthetic
0.5,2,2,5,0,0,64,1,2,24,synthetic
2,1,3,3,0,0,56,2,7,66,synthetic
1,5,2,4,0,0,46,7,1,24,synthetic
1,2,3,5,1,12,88,7,1,22,synthetic
4,4,3,1,0,0,1,4,2,24,synthetic
1,3,1,5,1,24,17,1,7,30,synthetic
3,1,3,3,1,48,90,2,1,24,synthetic
1,4,3,4,1,36,50,6,14,34,synthetic
1.5,2,4,5,0,0,54,1,10,65.0,synthetic
6,3,2,3,1,6,44,3,10,4,synthetic
5,4,1,5,1,48,21,1,1,24,synthetic
0.5,4,3,2,0,0,50,2,2,24,synthetic
5,5,4,3,0,0,27,5,1,24,synthetic
1.5,1,1,2,1,6,9,3,5,4,synthetic
4,1,3,1,1,72,2,5,4,48,synthetic
