text,subject,task_type,difficulty,language,source_url,source_title,source_file
"Завдання для самостійної роботи з навчальної дисципліни «ОСНОВИ ЕКОНОМІЧНОЇ ТЕОРІЇ» спец іальність 081 Право для здобувачів вищої освіти 1 курсу факультету підготовки фахівців для підрозділів кримінальної поліції, що навчаються на першому (бакалаврському) рівні вищої освіти Дніпро – 2016",Право,other,1,uk,https://dduvs.edu.ua/wp-content/uploads/files/Structure/library/student/nmm/0929/9.3.pdf,Завдання для самостійної роботи,backend/infrastructure/ml/datasets/raw\48_eb9f1aa37797.pdf
"Самостійна робота здобувачів вищої освіти – самостійна діяльність -учіння, яку науково -педагогічний працівник планує разом зі здобувачем вищої освіти, але виконує її здобувач за завданнями та під методичним керівництвом та контролем науково -педагогічного працівника без його прямої участі.",Інше,homework,1,uk,https://dduvs.edu.ua/wp-content/uploads/files/Structure/library/student/nmm/0929/9.3.pdf,Завдання для самостійної роботи,backend/infrastructure/ml/datasets/raw\48_eb9f1aa37797.pdf
"Вправа «Антитривога» . Несиметрична крапка CV 17 («море спокою»), знаходиться в центрі грудини (на відстані трьох пальців нагору від основи грудини) (рис. 3) при її масажі знімається занепокоєння та тривога. Рис. 3",Інше,homework,1,uk,https://files.znu.edu.ua/files/Bibliobooks/Inshi75/0056152.pdf,практикум з формування стресостійкості ...,backend/infrastructure/ml/datasets/raw\69_23b6d5b49446.pdf
"Вправа «Активізація діяльності головного мозку і зміцнення сили волі. По черзі масажуйте великим пальцем протилежної руки вказану точку, біля розгалуження пальців, протягом 1 -2 хвилин кожну, починаючи з л івої руки (рис. 4). Рис. 4",Інше,homework,1,uk,https://files.znu.edu.ua/files/Bibliobooks/Inshi75/0056152.pdf,практикум з формування стресостійкості ...,backend/infrastructure/ml/datasets/raw\69_23b6d5b49446.pdf
Вправа 2. «Лижник (Синхронізація)». 60 сек. Корисна вправа для досягнення стану душевної і фізичної рівноваги.,Інше,homework,1,uk,https://files.znu.edu.ua/files/Bibliobooks/Inshi75/0056152.pdf,практикум з формування стресостійкості ...,backend/infrastructure/ml/datasets/raw\69_23b6d5b49446.pdf
Завдання основного рівня є нескла дними і в основно му охоплюють клас базових задач із відпові дної теми.,Інше,other,1,uk,https://eti.edu.ua/images/Vasylieva/IT/pidruchniki/PosibnykC.pdf,ПРАКТИКУМ іЗ ПРОГРАМУВАННЯ МОВОЮ С++,backend/infrastructure/ml/datasets/raw\70_59ba91d21ed2.pdf
Задача № 1 Визначити оптимальний план задачі лінійного програмування симплекс -методом (задача № 1 із Лабораторної роботи № 1).,Програмування,homework,1,uk,https://dspace.mnau.edu.ua/jspui/bitstream/123456789/9969/3/matem-program-bakalavr-metod.pdf,Індивідуальні завдання з математичному програмування,backend/infrastructure/ml/datasets/raw\73_c266a501188a.pdf
"Завдання 2.1. Питома вага вартості виробництва продукції машинобудування в усій промисловості Харківської області у січні – липні 2011 року становила 19,2 %, а частка виробництва такої продукції у країні становила 11,5 %. Розрахуйте індекс рівня спеціалізації даної продукції у Харківській області.",Інше,other,1,uk,https://repository.hneu.edu.ua/bitstream/123456789/3464/1/%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D1%96%20%D0%B7%D0%B0%D0%B2%D0%B4%D0%B0%D0%BD%D0%BD%D1%8F%20%D1%82%D0%B0%20%D0%BC%D0%B5%D1%82%D0%BE%D0%B4.%20%D1%80%D0%B5%D0%BA%D0%BE%D0%BC.%20%D0%B4%D0%BE%20%D1%97%D1%85%20%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F%20%D0%B7%20%D0%BD%D0%B0%D0%B2%D1%87.%20%D0%B4%D0%B8%D1%81%D1%86.--%D0%A0%D0%B5%D0%B3%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D1%96%D0%BA%D0%B0-%20%D0%B4%D0%BB%D1%8F%20%D1%81%D1%82%D1%83%D0%B4.%20%D0%BD%D0%B0%D0%BF%D1%80%D1%8F%D0%BC%D1%83%20%D0%BF%D1%96%D0%B4%D0%B3%D0%BE%D1%82.%206.030508%20-%D0%A4%D1%96%D0%BD%D0%B0%D0%BD%D1%81%D0%B8%20%D1%96%20%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82-%20%D1%83%D1%81%D1%96%D1%85%20%D1%84%D0%BE%D1%80%D0%BC%20%D0%BD%D0%B0%D0%B2%D1%87.pdf,Практичні завдання та методичні рекомендації до їх ...,backend/infrastructure/ml/datasets/raw\77_2a71e334e761.pdf
"Задача 2.3 Повна первісна вартість обладнання 2000 тис. грн. Його можлива ліквідаційна вартість 50 тис. грн., термін використання обладнання – 10 років . Розрахувати суму фізичного зносу об’єкта в нормальних умовах функціонування через 5 років після введення в дію.",Філологія,homework,1,uk,https://epvm.vntu.edu.ua/wp-content/uploads/2018/01/econ_pydpr_prakt_cpc_balzan.pdf,МЕТОДИЧНІ ВКАЗІВКИ ТА ЗАВДАННЯ до проведення ...,backend/infrastructure/ml/datasets/raw\78_7e0bea4463e8.pdf
Задача № 1 . Як вплине значне збільшення цін на бензин на попит для автомобілів з економним використанням пального? Як це позначиться в довгостроковому періоді? Поясн іть рішення графічно.,Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 6. Відомі функції ринкового попиту QD = 10 – P, та проп озиції QS = –5 + 2P. За кожну продану одиницю продукції виробник має сплатити податок у розмірі 1,5 грош. од. Яку частину цього податку виробник перекладає на споживача?",Маркетинг,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 7. Ринок цигарок описується наступними функціями попиту та пропозиції: QD = 36 – 2P, Q S = –4 + 3P. 1. Яку максимальну суму податку можна зібрати з цього ринку шляхом стягнення акцизу з кожної проданої пачки цигарок? 2. Представте результат у вигляді кривої Лафера.",Економіка,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 8. Ринок цементу характеризується наступними функціями попиту та пропозиції: QD = 12 – P, Q S = –3 + 2P Яка сума податку буде зібрана з продаж цементу, якщо встановити 50% податку з обороту? На скільки підвиситься обсяг продаж цементу, якщо відмінити податок?",Економіка,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 11 . Попит та пр опозиція описані функціями: QD=600 –100P, Q S=150+50P . Знайдіть параметри рівноваги на ринку даного товару. Припустимо, що держава встановила податок в 1,5 гривні на даний товар . Що втратять покупці, продавці, банкіри?",Історія,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 12 . Задані такі функції попиту та пропозиції штучного товару: QD = 3000 – 1,5P, Q S = 3,5P – 600. Вводиться акцизний податок на одиницю товару Т=2 гривні. Знайдіть рівноважний обсяг попиту та пропозиції до і після введення податку.",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 3. Коефіцієнт попиту при ціні в 1 долар за пачку цигарок дорівнює 1000. За цією ціною реалізується 4000 пачок цигарок . Знайдіть цінову еластичність попиту. Якщо ціна підви щиться до 1,1 долара за пачку й при ць ому коефіцієнт еластичності не зміниться , то як зміниться доход виробників? 26",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 4. Коефіцієнт попиту при ціні в 5 грн за пачку чаю дорівнює 8000. За цією ціною магазин реалізував 24000 пачок чаю. Розрахуйте цінову еластичність попиту. Якщо ц іна зрост е до 5,2 грн за пачку і при цьому коефіцієнт еластичності не зміниться, то як зміниться доход магазина?",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 5. Яку ціну необхідно назначити на білети в театр, щоб доход був максимальним, при умові що максимальна к ількість місць становить 500 і максим альна ціна – 100 гривень?",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 8. Знайдіть еластичність пропозиції, якщо при підвищенні ціни на 10% пропозиція зросла з 10 до 1 2. Величина попиту при цьому дорівнює 8.",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
"Задача № 9. Нахил кривої попиту на телевізори дорівнює 0,5. По ціні 600 гривень продали 600 телевізорів. Знайдіть еластичність попиту по ціні.",Інше,homework,1,uk,http://files.znu.edu.ua/files/Bibliobooks/Inshi81/0061278.pdf,мікроекономіка - практикум,backend/infrastructure/ml/datasets/raw\79_a277ebac973f.pdf
Завдання 1. Змоделюйте систему органів виконавчої влади за основними організаційно-правовими рівнями. Наведіть моделі організаційної структури суб’єктів державного регулювання економіки на кожному з рівнів за вибором.,Право,other,1,uk,https://nubip.edu.ua/sites/default/files/u122/%D0%9D%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D1%96%D0%BA%D0%B0.pdf,самостійна робота студентів національна економіка,backend/infrastructure/ml/datasets/raw\81_2a8c60a928b7.pdf
Напиши короткий опис свого улюбленого тварини.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Визнач основну ідею вірша Тараса Шевченка 'Заповіт'.,Мова та література,reading,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Склади простий речення з трьох слів.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Обчисли суму 5 і 3.,Математика,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Скільки кутів має трикутник?,Математика,exam_preparation,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Розв'яжи рівняння: 2 + 2 = ?,Математика,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Напиши короткий опис свого дня.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Склади таблицю множення на 2.,Математика,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
"Прочитай казку і розкажи, про що вона.",Мова та література,reading,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
"Визнач, які кольори ти бачиш на малюнку.",Мистецтво,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Проведи експеримент з водою: як вона змінює форму?,Наука,laboratory,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Чи можеш ти назвати п'ять фруктів?,Географія,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Побудуй модель будинку з конструктора.,Технології,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Які тварини живуть в Україні?,Географія,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Прочитай вірш і намалюй до нього малюнок.,Мистецтво,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Напиши три речення про свою родину.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Склади список своїх улюблених ігор.,Соціальні науки,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Розклади предмети на столі за кольорами.,Мистецтво,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Склади простий малюнок з геометричних фігур.,Математика,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Які пори року ти знаєш?,Природознавство,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Прочитай текст і дай відповіді на запитання.,Мова та література,reading,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Скільки днів у тижні?,Математика,exam_preparation,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Опиши погоду на вулиці сьогодні.,Природознавство,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Намалюй свій улюблений предмет.,Мистецтво,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Знайди всі літери 'А' у тексті.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Спробуй зібрати пазл.,Технології,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Скільки пальців на одній руці?,Наука,exam_preparation,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Прочитай про улюблену тварину і розкажи про неї.,Природознавство,reading,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Напиши листа другу.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Зроби малюнок на тему 'Літо'.,Мистецтво,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Які овочі ти знаєш?,Географія,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Склади речення зі словами 'котик' і 'біжить'.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Проведи спостереження за рослинами на дворі.,Природознавство,laboratory,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Скільки планет у Сонячній системі?,Наука,exam_preparation,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Прочитай розповідь і намалюй головного героя.,Мова та література,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Напиши три речення про весну.,Мова та література,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Обчисли: 10 - 5 = ?,Математика,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
"Склади список предметів, які ти бачиш у класі.",Соціальні науки,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Намалюй малюнок про твоє найулюбленіше свято.,Мистецтво,project,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Прочитай вірш і назви його автора.,Мова та література,reading,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Які тварини живуть на фермі?,Географія,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Підрахуй кількість книг на полиці.,Математика,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Які є смачні фрукти?,Географія,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
"Розкажи, чим ти займаєшся у вільний час.",Соціальні науки,homework,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
"Визнач, які звуки ти чуєш навколо.",Природознавство,other,1,uk,llm_generated,LLM generated Ukrainian educational task,llm_generated
Підготувати короткі відповіді на питання для самоконтролю з теми «генетика».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «матриці».,Математика,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «інтеграли».,Математика,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «цільова аудиторія».,Маркетинг,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «періодична система».,Хімія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «лексика».,Філологія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «цивільне право».,Право,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Філологія».,Філологія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «SQL-запити».,Бази даних,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «похідна».,Математика,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «SQL-запити».,Бази даних,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Право».,Право,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «державотворення».,Історія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Біологія».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «похідна».,Математика,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «організм».,Біологія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «граматика».,Філологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Хімія».,Хімія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Психологія».,Психологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «екосистема» та виписати основні поняття.,Біологія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «кислоти і луги».,Хімія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Програмування».,Програмування,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «системи рівнянь».,Математика,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «особистість» та виписати основні поняття.,Психологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «трудовий договір».,Право,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «граматика» та виписати основні поняття.,Філологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «кислоти і луги» та виписати основні поняття.,Хімія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «генетика».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «клітина».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «похідна» та виписати основні поняття.,Математика,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «алгоритми».,Програмування,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «особистість».,Психологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «правовідносини».,Право,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «культура».,Історія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «матриці».,Математика,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «структури даних».,Програмування,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «хімічні реакції».,Хімія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «прибуток» та виписати основні поняття.,Економіка,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «цільова аудиторія» та виписати основні поняття.,Маркетинг,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «конкуренція» та виписати основні поняття.,Економіка,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Бази даних».,Бази даних,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «суспільні зміни».,Історія,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «суспільні зміни» та виписати основні поняття.,Історія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «біологічні процеси».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «реклама».,Маркетинг,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «об'єктно-орієнтоване програмування».,Програмування,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «емоції».,Психологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «організм».,Біологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «сприйняття».,Психологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Прочитати матеріал з теми «реклама» та виписати основні поняття.,Маркетинг,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Дати визначення основним термінам теми «аналіз тексту».,Філологія,reading,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
Підготувати короткі відповіді на питання для самоконтролю з теми «алгоритми».,Програмування,exam_preparation,1,uk,synthetic,Synthetic Ukrainian educational task,synthetic
