date,total_event_hours,number_of_events,first_event_hour,last_event_hour,day_span_hours,lecture_hours,practice_hours,lab_hours,exam_hours,consultation_hours,work_hours,personal_hours,study_event_hours,lecture_count,practice_count,lab_count,exam_count,consultation_count,work_count,personal_count,study_event_count,number_of_subjects,number_of_tasks,planned_tasks,in_progress_tasks,completed_tasks,missed_tasks,total_task_difficulty,avg_task_difficulty,total_task_duration,avg_task_duration,completion_rate,missed_rate,status_changes_count,done_logs_count,missed_logs_count,schedule_load_score
2024-09-18,6.33,5,11.0,19.5,8.5,1.33,0,4.0,0,0,0,1.0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,67.31
2024-09-19,4.0,3,8.5,13.17,4.67,2.67,0,0,0,0,0,0,1.33,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,31.17
2024-09-20,5.67,4,8.5,16.25,7.75,0,0,2.67,0,0,0,3.0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,46.7
2024-09-21,4.0,3,8.5,13.17,4.67,1.33,0,0,0,0,0,0,2.67,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,29.83
2024-09-23,2.33,2,8.0,11.5,3.5,1.33,0,0,0,0,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,14.31
2024-09-24,4.0,3,8.5,13.17,4.67,1.33,0,2.67,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,43.51
2024-09-25,6.33,5,12.0,19.5,7.5,1.33,0,4.0,0,0,0,1.0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,67.31
2024-09-26,2.67,2,8.5,11.5,3.0,2.67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,21.69
2024-09-27,3.67,3,8.5,13.0,4.5,0,0,2.67,0,0,0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,36.2
2024-09-28,5.33,4,8.5,14.83,6.33,2.67,0,0,0,0,0,0,2.67,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,40.71
2024-09-30,2.83,3,10.0,13.17,3.17,1.33,0,0,0,0,0,1.0,1.33,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,23.79
2024-10-01,2.67,2,8.5,11.5,3.0,0,0,2.67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,32.7
2024-10-02,6.33,5,12.0,19.5,7.5,1.33,0,4.0,0,0,0,1.0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,67.31
2024-10-03,4.0,3,8.5,13.17,4.67,2.67,0,0,0,0,0,0,1.33,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,31.17
2024-10-04,3.67,3,8.5,13.0,4.5,0,0,2.67,0,0,0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,36.2
2024-10-05,4.0,3,8.5,13.17,4.67,1.33,0,0,0,0,0,0,2.67,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,29.83
2024-10-07,4.33,6,7.67,15.5,7.83,1.33,0,0,0,0,0,3.17,0.67,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,32.84
2024-10-08,4.83,6,7.67,15.5,7.83,1.33,0,2.67,0,0,0,0.17,0.67,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,55.54
2024-10-09,6.67,7,7.67,19.5,11.83,1.33,0,4.0,0,0,0,1.17,0.17,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,74.84
2024-10-10,3.5,5,7.67,15.5,7.83,2.67,0,0,0,0,0,0.17,0.67,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,33.72
2024-10-11,4.5,6,7.67,16.5,8.83,0,0,2.67,0,0,0,1.17,0.67,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,48.23
2024-10-12,5.83,7,7.67,14.83,7.17,2.67,0,0,0,0,0,1.17,2.83,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51.68
2024-10-13,0.33,2,7.67,8.0,0.33,0,0,0,0,0,0,0.17,0.17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,3.53
2024-10-14,4.33,6,7.67,15.5,7.83,1.33,0,0,0,0,0,3.17,0.67,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,32.84
2024-10-15,2.83,3,7.67,11.5,3.83,0,0,2.67,0,0,0,0.17,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,33.71
2024-10-16,2.83,3,7.67,18.0,10.33,0,0,2.67,0,0,0,0.17,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,41.71
2024-10-17,1.67,3,7.67,11.5,3.83,1.33,0,0,0,0,0,0.17,0.17,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,14.34
2024-10-18,4.83,3,10.17,20.5,10.33,0,0,1.33,0,0,0,4.0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,37.3
2024-10-19,5.5,5,7.67,14.83,7.17,1.33,0,1.33,0,0,0,0.17,2.67,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,51.14
2024-10-23,0.17,1,7.67,7.83,0.17,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,1.01
2026-03-23,1.0,2,1.5,3.0,1.5,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,9.0
2026-03-24,2.5,7,3.0,11.0,8.0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,29.5
2026-03-25,1.0,2,2.5,5.0,2.5,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,9.0
2026-03-26,0.5,1,5.0,5.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,4.5
